2013-10-21 01:08:25 ERR (3): 20131021010825_528  {code:0}  {message:}  {file:C:\wamp\www\tonghoptruyen\library\Core\Utils.php:152}
#0 C:\wamp\www\tonghoptruyen\application\models\Worker\Test.php(25): Core_Utils::test()
#1 C:\wamp\www\tonghoptruyen\console.php(55): Application_Model_Worker_Test->start()
#2 {main}


2013-10-21 01:18:10 INFO (6): 20131021011810_84  begin get comic

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Get comics in url http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat

2013-10-21 01:18:10 INFO (6): 20131021011810_84  getContent  http://truyen.vnsharing.net/TheLoai/Adult/MoiCapNhat  begin  

2013-10-21 01:18:10 INFO (6): 20131021011810_84  Count = 1

2013-10-21 01:18:22 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Ngung-dong?id=8898","seo_name":"Ng\u01b0ng \u0111\u1ecdng","name":"Ng\u01b0ng \u0111\u1ecdng","source_id":"3","url":"ngung-dong","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:22 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:23 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Yuureitou?id=7115","seo_name":"Yuureitou","name":"Yuureitou","source_id":"3","url":"yuureitou","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:24 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:25 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/SS-Sisters?id=8045","seo_name":"SS Sisters","name":"SS Sisters","source_id":"3","url":"ss-sisters","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:25 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:26 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Mousou-Cherry?id=8851","seo_name":"Mousou Cherry","name":"Mousou Cherry","source_id":"3","url":"mousou-cherry","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:26 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:27 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Renai-Idenshi-XX?id=8850","seo_name":"Renai Idenshi XX","name":"Renai Idenshi XX","source_id":"3","url":"renai-idenshi-xx","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:27 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:28 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Silence?id=8738","seo_name":"Silence","name":"Silence","source_id":"3","url":"silence","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:28 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:29 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/The-Secret-Service?id=8590","seo_name":"The Secret Service","name":"The Secret Service","source_id":"3","url":"the-secret-service","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:30 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:31 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Kirara-Hon-ma-quyen-ru2?id=8224","seo_name":"Kirara - H\u1ed3n ma quy\u1ebfn r\u0169","name":"Kirara - H\u1ed3n ma quy\u1ebfn r\u0169","source_id":"3","url":"kirara-hon-ma-quyen-ru","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:31 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:32 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Sun-Ken-Rock--?id=5908","seo_name":"Sun-Ken Rock","name":"Sun-Ken Rock","source_id":"3","url":"sun-ken-rock","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:32 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:33 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Black-Joke?id=6628","seo_name":"Black Joke","name":"Black Joke","source_id":"3","url":"black-joke","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:33 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:34 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Communication-is-still-an-issue?id=8769","seo_name":"Communication  is still  an issue","name":"Communication  is still  an issue","source_id":"3","url":"communication-is-still-an-issue","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:34 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:35 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/High-Schoo-DXD-2?id=4293","seo_name":"High-School DxD","name":"High-School DxD","source_id":"3","url":"high-school-dxd","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:36 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:37 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Alice-no-Hyakudo-CC?id=7700","seo_name":"Alice no 100\u00b0C C","name":"Alice no 100\u00b0C C","source_id":"3","url":"alice-no-100c-c","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:37 INFO (6): 20131021011810_84  insert comic  end  1  

2013-10-21 01:18:38 INFO (6): 20131021011810_84  insert comic  begin  {"comic_url":"http:\/\/truyen.vnsharing.net\/Truyen\/Sengoku-Rance?id=8660","seo_name":"Sengoku Rance","name":"Sengoku Rance","source_id":"3","url":"sengoku-rance","main_cat":"1","create_time":"2013-10-21 01:18:10","update_time":"2013-10-21 01:18:10","update_chap_time":"2013-10-21 01:18:10"}  

2013-10-21 01:18:38 INFO (6): 20131021011810_84  insert comic  end  1  

